 Learning C# Programming with Unity 3D;1466586524;9781466586529; Alex Okita;A K Peters/CRC Press;unity, programming, learning;690;2014-08-01;Paperback;49.95 USD
 Beginning Programming with C++ For Dummies;1118823877;9781118823873; Stephen R. Davis;For Dummies;dummies, programming, beginning;456;2014-10-27;Paperback;29.99 USD
 C Programming: The Essentials for Engineers and Scientists (Undergraduate Texts in Computer Science);0387986324;9780387986326; David R. Brooks;Springer;texts, computer, science, undergraduate, scientists, essentials, engineers, programming;479;1999-05-01;Hardcover;99.00 USD
 Murach's ASP.NET 4.5 Web Programming with C# 2012 (Murach: Training & Reference);1890774758;9781890774752;Mary Delamater, Anne Boehm;Mike Murach & Associates;murach, training, reference, programming, web, asp, net;856;2013-08-07;Paperback;57.50 USD
 C Programming A Modern Approach: With 2000+ C Codes And 23+ Complete Chapter's;150053319X;9781500533199; Harry. H. Chaudhary.;CreateSpace Independent Publishing Platform;complete, chapter, codes, approach, modern, programming;394;2014-07-14;Paperback;16.99 USD
 Cracking the Coding Interview: 150 Programming Questions and Solutions;098478280X;9780984782802; Gayle Laakmann McDowell;CareerCup;questions, solutions, programming, interview, coding, cracking;508;2011-08-22;Paperback;39.95 USD
 Programming in Visual C# 2008;0073517216;9780073517216;Julia Case Bradley, Anita Millspaugh;McGraw-Hill/Irwin;visual, programming;679;2009-01-08;Paperback;137.34 USD
 C# Programming: From Problem Analysis to Program Design;1285096266;9781285096261; Barbara Doyle;Cengage Learning;design, program, analysis, problem, programming;1184;2013-04-30;Paperback;201.95 USD
 Effective TCP/IP Programming: 44 Tips to Improve Your Network Programs: 44 Tips to Improve Your Network Programs;0201615894;9780201615890; Jon C. Snader;Addison-Wesley Professional;network, programs, improve, tips, tcp, programming, effective;320;2000-05-14;Paperback;64.99 USD
 Programming 8-bit PIC Microcontrollers in C: with Interactive Hardware Simulation;0750689609;9780750689601; Martin P. Bates;Newnes;hardware, simulation, interactive, microcontrollers, bit, pic, programming;304;2008-07-29;Paperback;50.95 USD
 C Programming;0321287630;9780321287632;Larry Ullman, Marc Liyanage;Peachpit Press;programming;408;2004-10-23;Paperback;26.99 USD
 Practical UML Statecharts in C/C++: Event-Driven Programming for Embedded Systems;0750687061;9780750687065; Miro Samek;CRC Press;programming, embedded, systems, driven, event, uml, statecharts, practical;728;2008-10-01;Paperback;59.95 USD
 C: A Reference Manual (5th Edition);013089592X;9780130895929;Samuel P. Harbison, Guy L. Steele Jr.;Prentice Hall;manual, reference;560;2002-03-03;Paperback;81.40 USD
 Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions;0201615622;9780201615623; Herb Sutter;Addison-Wesley Professional;problems, solutions, programming, puzzles, engineering, exceptional;240;1999-11-28;Paperback;54.99 USD
 C# 5.0 Pocket Reference: Instant Help for C# 5.0 Programmers;1449320171;9781449320171;Joseph Albahari, Ben Albahari;O\'Reilly Media;programmers, instant, reference, pocket;224;2012-06-19;Paperback;14.99 USD
